year,circulation,title
2019,23252639,AARP The Magazine,
2020,22886914,AARP The Magazine,
2021,22503435,AARP The Magazine,
2019,22881594,AARP Bulletin, 
2020,22587075,AARP Bulletin, 
2021,22311002,AARP Bulletin, 
2019,7036832,Better Homes And Gradens, 
2020,6902804,Better Homes And Gradens, 
2021,6683748,Better Homes And Gradens,
2019,2839289,People, 
2020,2895800,People, 
2021,2693837,People, 
2019,2488687,Reader's Digest, 
2020,2460730,Reader's Digest, 
2021,2432222,Reader's Digest,