year,title,circulation,
2019,US Weekly,1137808,
2020,US Weekly,744102,
2021,US Weekly,693557,
2019,Men's Journal,728414,
2020,Men's Journal,436270,
2021,Men's Journal,265527,
2019,Star Magazine,562264,
2020,Star Magazine,489394,
2021,Star Magazine,422527,
2019,Better Homes and Gardens,472112,
2020,Better Homes and Gardens,396034,
2021,Better Homes and Gardens,263380,
2019,Golf Digest,394104,
2020,Golf Digest,86699,
2021,Golf Digest,18886,
2019,The Atlantic,357373,
2020,The Atlantic,163065,
2021,The Atlantic,48151,
2019,First For Women,334794,
2020,First For Women,296172,
2021,First For Women,169187,
2019,Woman's World,332959,
2021,Woman's World,301307,
2020,Woman's World,123850,
2019,New Yorker,324710,
2020,New Yorker,241723,
2021,New Yorker,183751,
2019,People,279411,
2020,People,233636,
2021,People,139675,